0,1,2,3,4,5,6,7,8,9,10
coffee,root vegetables,,,,,,,,,
hamburger meat,root vegetables,seasonal products,shopping bags,,,,,,,
spices,soda,,,,,,,,,
pip fruit,liver loaf,root vegetables,rolls/buns,mayonnaise,curd,root vegetables,hard cheese,chocolate,,
rolls/buns,yogurt,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
UHT-milk,tea,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
pork,domestic eggs,,,,,,,,,
pastry,whole milk,citrus fruit,newspapers,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
sausage,butter,,,,,,,,,
pet care,napkins,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
soda,bottled water,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
yogurt,dog food,,,,,,,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
turkey,whipped/sour cream,butter,,,,,,,,
citrus fruit,pastry,salt,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
curd,tropical fruit,,,,,,,,,
oil,waffles,,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
tropical fruit,newspapers,bottled water,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
soda,shopping bags,canned beer,,,,,,,,
sliced cheese,skin care,,,,,,,,,
chicken,waffles,,,,,,,,,
other vegetables,liquor,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
berries,UHT-milk,cream cheese ,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
soda,frankfurter,soda,salty snack,bottled water,frozen vegetables,yogurt,,,,
citrus fruit,onions,,,,,,,,,
pastry,brown bread,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
citrus fruit,white bread,pastry,,,,,,,,
canned beer,cake bar,,,,,,,,,
root vegetables,mustard,,,,,,,,,
pip fruit,frozen fish,cling film/bags,,,,,,,,
root vegetables,canned beer,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
beef,rolls/buns,,,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
pastry,rolls/buns,sliced cheese,tropical fruit,liquor,hygiene articles,dental care,napkins,,,
detergent,candy,,,,,,,,,
frankfurter,white bread,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
soda,flour,pudding powder,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
female sanitary products,salt,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
frankfurter,curd,,,,,,,,,
tropical fruit,soda,,,,,,,,,
misc. beverages,whole milk,long life bakery product,,,,,,,,
frankfurter,dishes,,,,,,,,,
sausage,other vegetables,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
frozen dessert,detergent,,,,,,,,,
meat,other vegetables,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
other vegetables,shopping bags,specialty bar,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
pork,sugar,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
butter milk,newspapers,,,,,,,,,
canned beer,yogurt,rolls/buns,whole milk,,,,,,,
yogurt,canned beer,,,,,,,,,
pastry,waffles,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
beef,rolls/buns,seasonal products,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
coffee,baking powder,,,,,,,,,
flour,pork,butter,shopping bags,hard cheese,,,,,,
rolls/buns,pip fruit,,,,,,,,,
beverages,long life bakery product,hygiene articles,,,,,,,,
beef,butter milk,,,,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
whole milk,whole milk,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
fruit/vegetable juice,detergent,yogurt,snack products,,,,,,,
ham,whole milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
bottled beer,sugar,bottled water,,,,,,,,
dessert,pot plants,,,,,,,,,
meat spreads,butter,,,,,,,,,
onions,white wine,,,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
herbs,sugar,,,,,,,,,
pastry,canned beer,,,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
other vegetables,dishes,,,,,,,,,
pip fruit,sugar,frozen vegetables,,,,,,,,
margarine,bottled water,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
beef,spread cheese,bottled water,waffles,,,,,,,
bottled beer,other vegetables,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
soda,whole milk,,,,,,,,,
fruit/vegetable juice,hamburger meat,soft cheese,specialty chocolate,bottled water,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
pork,grapes,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
coffee,shopping bags,,,,,,,,,
mustard,flour,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
beef,soda,,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
soda,bottled beer,brown bread,,,,,,,,
chicken,rolls/buns,newspapers,,,,,,,,
cat food,tropical fruit,whipped/sour cream,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
cream,yogurt,,,,,,,,,
other vegetables,butter,,,,,,,,,
pastry,grapes,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
beef,sausage,oil,candles,,,,,,,
newspapers,dishes,,,,,,,,,
onions,grapes,bottled beer,,,,,,,,
citrus fruit,pastry,,,,,,,,,
herbs,tropical fruit,whole milk,,,,,,,,
other vegetables,frozen vegetables,cling film/bags,bottled water,,,,,,,
root vegetables,coffee,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
seasonal products,white wine,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
frozen fish,salty snack,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
frankfurter,cream cheese ,yogurt,baking powder,,,,,,,
root vegetables,white wine,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
bottled water,newspapers,,,,,,,,,
other vegetables,curd,,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
zwieback,sausage,whole milk,soda,canned beer,hygiene articles,,,,,
soda,beverages,,,,,,,,,
dessert,nut snack,bottled water,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
specialty bar,pastry,,,,,,,,,
sausage,whipped/sour cream,misc. beverages,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
pip fruit,male cosmetics,,,,,,,,,
curd,soda,ice cream,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
cream cheese ,baking powder,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
whipped/sour cream,pip fruit,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
frozen dessert,cream cheese ,,,,,,,,,
beef,salty snack,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,pork,,,,,,,,,
bottled beer,sliced cheese,,,,,,,,,
pip fruit,frozen meals,,,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
cream cheese ,pip fruit,cat food,shopping bags,,,,,,,
white bread,yogurt,,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
oil,sparkling wine,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
grapes,domestic eggs,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
fruit/vegetable juice,candy,fruit/vegetable juice,,,,,,,,
pet care,beef,,,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
pork,pastry,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
cat food,whole milk,,,,,,,,,
curd,other vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
ham,fruit/vegetable juice,chocolate,,,,,,,,
pastry,roll products ,,,,,,,,,
brown bread,candy,chocolate,,,,,,,,
whole milk,whole milk,whole milk,pip fruit,waffles,whole milk,coffee,chocolate,,,
canned beer,rolls/buns,other vegetables,brown bread,butter milk,whole milk,,,,,
root vegetables,shopping bags,,,,,,,,,
pastry,canned beer,,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
pip fruit,white wine,white wine,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
napkins,popcorn,,,,,,,,,
margarine,specialty bar,,,,,,,,,
candy,coffee,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
sausage,hygiene articles,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
canned beer,coffee,flour,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
soda,beverages,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
onions,chicken,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
berries,frozen vegetables,,,,,,,,,
whole milk,ice cream,,,,,,,,,
fruit/vegetable juice,pickled vegetables,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
soda,candy,,,,,,,,,
newspapers,white bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
beef,pastry,,,,,,,,,
root vegetables,soda,,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
meat,other vegetables,,,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
pastry,dish cleaner,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
UHT-milk,hard cheese,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
soda,cream cheese ,,,,,,,,,
meat,pip fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
soda,liver loaf,,,,,,,,,
ham,cream cheese ,,,,,,,,,
pastry,soda,semi-finished bread,white bread,,,,,,,
soda,rolls/buns,soda,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,pastry,,,,,,,,,
spread cheese,cream cheese ,shopping bags,,,,,,,,
candy,newspapers,female sanitary products,,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,detergent,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
cream cheese ,frozen vegetables,sugar,coffee,,,,,,,
yogurt,rice,butter,,,,,,,,
white bread,UHT-milk,,,,,,,,,
whole milk,brown bread,candy,,,,,,,,
tea,light bulbs,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
newspapers,soda,canned beer,,,,,,,,
root vegetables,instant coffee,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
chocolate,whole milk,,,,,,,,,
root vegetables,soda,dessert,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
other vegetables,chicken,onions,rolls/buns,spices,other vegetables,,,,,
whole milk,bottled water,chicken,citrus fruit,canned vegetables,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
root vegetables,citrus fruit,bottled water,Instant food products,butter milk,mayonnaise,,,,,
beverages,cat food,,,,,,,,,
tropical fruit,hamburger meat,tea,,,,,,,,
tropical fruit,soda,,,,,,,,,
herbs,yogurt,prosecco,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
softener,soda,,,,,,,,,
yogurt,soda,dessert,,,,,,,,
root vegetables,waffles,,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
ice cream,meat spreads,,,,,,,,,
popcorn,flour,,,,,,,,,
citrus fruit,white wine,bottled beer,newspapers,cat food,,,,,,
whole milk,long life bakery product,,,,,,,,,
photo/film,onions,,,,,,,,,
other vegetables,soda,,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
specialty bar,dessert,,,,,,,,,
liver loaf,herbs,,,,,,,,,
butter,domestic eggs,,,,,,,,,
pork,dessert,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
chicken,pip fruit,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
packaged fruit/vegetables,butter,,,,,,,,,
root vegetables,rice,,,,,,,,,
root vegetables,soda,hygiene articles,,,,,,,,
sausage,pork,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
beef,processed cheese,,,,,,,,,
root vegetables,white bread,,,,,,,,,
tropical fruit,other vegetables,rice,,,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
beef,white bread,frozen potato products,,,,,,,,
other vegetables,whole milk,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
turkey,root vegetables,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
packaged fruit/vegetables,berries,,,,,,,,,
dessert,soda,pastry,whole milk,butter,rolls/buns,shopping bags,newspapers,,,
grapes,hard cheese,,,,,,,,,
sausage,pastry,,,,,,,,,
ham,processed cheese,,,,,,,,,
specialty bar,cream cheese ,,,,,,,,,
hard cheese,oil,,,,,,,,,
frankfurter,berries,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
citrus fruit,ham,onions,yogurt,pasta,newspapers,,,,,
whole milk,curd,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,sausage,hamburger meat,rum,house keeping products,,,,,,
newspapers,root vegetables,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
pet care,spread cheese,,,,,,,,,
curd,detergent,,,,,,,,,
whole milk,bottled water,,,,,,,,,
beef,house keeping products,,,,,,,,,
rolls/buns,cling film/bags,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
sausage,UHT-milk,candles,chewing gum,bottled beer,artif. sweetener,butter,,,,
ham,domestic eggs,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
coffee,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
chocolate,cat food,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
meat,whole milk,ready soups,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
bottled water,potato products,bottled water,,,,,,,,
salty snack,chocolate marshmallow,,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
brown bread,yogurt,,,,,,,,,
white bread,UHT-milk,,,,,,,,,
beef,pastry,whole milk,,,,,,,,
whole milk,cake bar,,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
onions,waffles,,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
frankfurter,ham,tropical fruit,misc. beverages,tropical fruit,photo/film,specialty chocolate,frozen fish,,,
whole milk,pastry,,,,,,,,,
whole milk,soda,,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,cat food,,,,,,,,,
ice cream,whole milk,,,,,,,,,
finished products,bottled beer,,,,,,,,,
bottled beer,soda,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
tropical fruit,soda,whipped/sour cream,,,,,,,,
soda,rolls/buns,,,,,,,,,
butter,sliced cheese,,,,,,,,,
soda,ham,,,,,,,,,
frankfurter,frozen dessert,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
curd,whole milk,,,,,,,,,
frankfurter,sausage,margarine,rolls/buns,bottled beer,mustard,,,,,
hygiene articles,dessert,,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
soda,pastry,,,,,,,,,
sausage,shopping bags,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
ham,soda,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
whole milk,house keeping products,,,,,,,,,
dessert,brown bread,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
candy,soda,candy,,,,,,,,
turkey,packaged fruit/vegetables,frozen vegetables,,,,,,,,
whole milk,citrus fruit,long life bakery product,salty snack,chocolate,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
chicken,misc. beverages,,,,,,,,,
beef,other vegetables,bottled water,,,,,,,,
other vegetables,white bread,soft cheese,,,,,,,,
onions,instant coffee,,,,,,,,,
pastry,pork,,,,,,,,,
pork,bottled beer,,,,,,,,,
sausage,finished products,,,,,,,,,
misc. beverages,dessert,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
white wine,newspapers,dog food,,,,,,,,
shopping bags,pork,canned fish,whole milk,onions,bottled beer,canned beer,,,,
turkey,white bread,,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
bottled beer,tropical fruit,domestic eggs,baking powder,,,,,,,
whole milk,grapes,,,,,,,,,
sausage,bottled beer,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
bottled water,processed cheese,,,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
nuts/prunes,soda,,,,,,,,,
ice cream,yogurt,,,,,,,,,
pastry,yogurt,,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
rolls/buns,yogurt,Instant food products,,,,,,,,
rolls/buns,detergent,,,,,,,,,
soda,rolls/buns,,,,,,,,,
sausage,rolls/buns,waffles,,,,,,,,
bottled water,pastry,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
meat,liquor,male cosmetics,fruit/vegetable juice,,,,,,,
butter,frankfurter,root vegetables,butter milk,vinegar,,,,,,
root vegetables,tropical fruit,,,,,,,,,
chewing gum,soda,red/blush wine,,,,,,,,
pork,rolls/buns,,,,,,,,,
meat,chicken,yogurt,pip fruit,,,,,,,
red/blush wine,other vegetables,rolls/buns,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
beef,pasta,,,,,,,,,
napkins,pastry,,,,,,,,,
zwieback,brown bread,,,,,,,,,
berries,dog food,,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
canned beer,red/blush wine,salty snack,,,,,,,,
pip fruit,bottled beer,other vegetables,,,,,,,,
soda,curd,,,,,,,,,
fruit/vegetable juice,yogurt,pastry,,,,,,,,
coffee,whole milk,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
sliced cheese,bottled water,,,,,,,,,
beef,citrus fruit,tropical fruit,coffee,fruit/vegetable juice,specialty chocolate,,,,,
tropical fruit,packaged fruit/vegetables,cereals,,,,,,,,
butter milk,bottled water,,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
sausage,other vegetables,,,,,,,,,
liquor,vinegar,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,napkins,,,,,,,,,
frozen dessert,berries,,,,,,,,,
other vegetables,soda,whole milk,sweet spreads,,,,,,,
beverages,canned beer,,,,,,,,,
butter milk,whole milk,,,,,,,,,
pork,rolls/buns,other vegetables,,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
soda,fruit/vegetable juice,,,,,,,,,
meat,pasta,baking powder,,,,,,,,
